,,Atropelamento,Atropelamento,Colisão,Colisão,Despiste,Despiste,Total,Total,Veículos,V/1000
,,,,,,,,veículos (V),veículos (V),circulação,Vci
,,2014,2015,2014,2015,2014,2015,2014,2015,(Vci),2015
,,,,,,,,,,,
,Passageiros,3598,3660,20376,22336,6043,5976,30017,31972,-,-
,Mercadorias,827,831,4999,5153,1452,1356,7278,7340,-,-
Veíc. Ligeiros,Outros,36,44,278,286,73,87,387,417,-,-
,N.D.,125,105,91,82,11,6,227,193,-,-
,Total,4586,4640,25744,27857,7579,7425,37909,39922,5391652,7
,Passageiros,108,102,279,354,14,16,401,472,-,-
,Mercadorias,55,48,762,744,135,127,952,919,-,-
Veíc. Pesados,Outros,12,19,145,158,28,40,185,217,-,-
,N.D.,0,1,5,5,1,0,6,6,-,-
,Total,175,170,1191,1261,178,183,1544,1614,127937,13
Velocípedes,,78,83,1433,1477,403,465,1914,2025,-,-
Ciclomotores,,87,77,1547,1672,1053,1067,2687,2816,-,-
Motociclos,,135,147,2356,2740,1414,1578,3905,4465,201544,22
Outros,,79,68,328,401,287,263,694,732,-,-
N.D.,,12,8,2,4,0,0,14,12,-,-
TOTAL,,5152,5193,32601,35412,10914,10981,48667,51586,-,-
