,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,00-03,1,2,7,5,75,77,83,84
,03-06,8,3,4,5,34,48,46,56
,06-09,18,17,33,55,410,498,461,570
,,,,,,,,,
,09-12,20,15,62,66,866,883,948,964
Dentro das,,,,,,,,,
,12-15,11,18,47,56,734,798,792,872
localidades,,,,,,,,,
,15-18,18,15,68,82,1015,965,1101,1062
,,,,,,,,,
,18-21,32,31,120,97,1271,1173,1423,1301
,21-24,7,10,44,35,274,283,325,328
,TOTAL,115,111,385,401,4679,4725,5179,5237
,00-03,3,6,1,1,5,8,9,15
,03-06,2,7,0,4,3,3,5,14
,06-09,0,2,0,2,14,14,14,18
,09-12,2,3,4,2,15,17,21,22
Fora das,,,,,,,,,
,12-15,2,3,4,4,21,9,27,16
localidades,,,,,,,,,
,15-18,2,2,7,2,17,20,26,24
,,,,,,,,,
,18-21,14,10,11,7,27,22,52,39
,21-24,5,2,2,5,14,7,21,14
,TOTAL,30,35,29,27,116,100,175,162
