,,FERIDOS GRAVES,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
,,,,,,,,,,,,,,,
,2014,40,28,21,8,12,13,23,17,25,33,29,165,0,414
Peões,2015,45,24,6,5,18,23,18,30,37,29,37,156,0,428
,15-14,5,-4,-15,-3,6,10,-5,13,12,-4,8,-9,-,14
,2014,38,49,129,88,72,70,82,72,59,52,36,157,2,906
Veíc. Ligeiros *,2015,40,59,124,91,73,62,66,64,75,61,51,178,0,944
,15-14,2,10,-5,3,1,-8,-16,-8,16,9,15,21,-2,38
,2014,0,0,0,1,2,1,7,2,9,3,2,1,0,28
Veíc. Pesados *,2015,1,2,3,4,5,5,8,9,10,3,6,1,0,57
,15-14,1,2,3,3,3,4,1,7,1,0,4,0,-,29
,2014,15,9,3,3,9,8,10,13,4,6,7,18,0,105
Velocípedes *,2015,14,15,6,6,6,9,13,15,16,8,2,22,0,132
,15-14,-1,6,3,3,-3,1,3,2,12,2,-5,4,-,27
,2014,0,17,12,7,9,9,19,23,20,21,10,35,0,182
Ciclomotores *,2015,1,14,13,8,9,15,16,20,22,24,10,40,0,192
,15-14,1,-3,1,1,0,6,-3,-3,2,3,0,5,-,10
,2014,1,20,35,39,46,52,41,23,21,20,7,6,0,311
Motociclos *,2015,5,21,39,38,56,43,32,37,29,7,10,9,0,326
,15-14,4,1,4,-1,10,-9,-9,14,8,-13,3,3,-,15
,2014,3,7,3,5,3,4,2,3,4,4,2,24,0,64
Outros *,2015,2,3,7,6,2,1,5,4,3,5,3,27,1,69
,15-14,-1,-4,4,1,-1,-3,3,1,-1,1,1,3,1,5
,2014,97,130,203,151,153,157,184,153,142,139,93,406,2,2010
TOTAL,2015,108,138,198,158,169,158,158,179,192,137,119,433,1,2148
,15-14,11,8,-5,7,16,1,-26,26,50,-2,26,27,-1,138
