,FERIDOS GRAVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=14,1,1,14,13,0,0,15,14
15-19,7,7,57,57,0,0,64,64
20-24,22,19,109,106,1,0,132,125
25-29,9,12,107,113,0,0,116,125
30-34,15,11,104,108,0,0,119,119
35-39,13,16,109,102,1,0,123,118
40-44,21,25,113,98,0,0,134,123
45-49,16,26,96,99,0,0,112,125
50-54,14,21,80,109,0,0,94,130
55-59,11,16,83,74,0,0,94,90
60-64,12,2,40,56,0,0,52,58
65-69,8,6,40,56,0,0,48,62
70-74,3,6,43,36,0,0,46,42
>=75,6,4,67,92,0,0,73,96
N.D.,0,0,1,1,0,0,1,1
TOTAL,158,172,1063,1120,2,0,1223,1292
