,Vítimas,,Feridos,,Feridos,,Total,,Total,
,mortais,,graves,,leves,,vítimas,,intervenientes,
,,,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Com licença/ carta adequada ao veículo,331,313,1038,1065,20367,21745,21736,23123,44008,46730
Com licença/ carta não adequada ao veículo,4,7,14,19,109,127,127,153,199,221
Caducada/ suspensa,3,5,7,16,63,84,73,105,133,167
Não necessária ao veículo que conduz,36,26,103,131,1684,1766,1823,1923,1908,2015
Em situação de instrução/exame,0,0,0,0,9,18,9,18,16,23
Sem licença/carta,22,11,47,53,270,266,339,330,422,429
N.D.,1,1,14,8,176,170,191,179,1840,1908
TOTAL,397,363,1223,1292,22678,24176,24298,25831,48526,51493
