Quadro 6.10 Condutores vítimas em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
AE,38,40,27,-0.32499999999999996,94,67,96,0.4328358208955223,1926,1247,1363,0.09302325581395343,2058,1354,1486,0.09748892171344159
Arruamento,143,117,132,0.1282051282051282,721,577,642,0.11265164644714032,17576,13399,14794,0.10411224718262546,18440,14093,15568,0.1046618888810047
EM,29,26,30,0.15384615384615374,111,92,105,0.14130434782608692,1130,957,935,-0.02298850574712641,1270,1075,1070,-0.0046511627906976605
EN,118,119,118,-0.008403361344537785,385,370,427,0.15405405405405403,5612,4370,4787,0.0954233409610985,6115,4859,5332,0.09734513274336276
ER,3,6,7,0.16666666666666674,22,13,47,2.6153846153846154,310,207,365,0.7632850241545894,335,226,419,0.8539823008849559
IC,18,15,21,0.3999999999999999,50,43,46,0.06976744186046502,868,578,621,0.07439446366781999,936,636,688,0.08176100628930816
IP,14,5,6,0.19999999999999996,14,11,9,-0.18181818181818177,226,164,170,0.03658536585365857,254,180,185,0.02777777777777768
Outras vias*,40,29,37,0.27586206896551735,118,102,119,0.16666666666666674,1228,1016,1384,0.36220472440944884,1386,1147,1540,0.34263295553618134
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
