Quadro 5.6 Passageiros vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Bom tempo,124,65,67,0.03076923076923066,344,267,306,0.146067415730337,8376,5387,6434,0.19435678485242258,8844,5719,6807,0.19024304948417559
Chuva,17,12,16,0.33333333333333326,64,38,55,0.44736842105263164,2149,1151,1195,0.038227628149435366,2230,1201,1266,0.054121565362198254
Nevoeiro,1,0,0,-,8,4,2,-0.5,88,80,59,-0.26249999999999996,97,84,61,-0.27380952380952384
Granizo,1,0,0,-,0,1,0,-1,27,5,7,0.3999999999999999,28,6,7,0.16666666666666674
Fumo,2,1,0,-1,2,1,0,-1,2,1,0,-1,6,3,0,-1
Vento,0,0,0,-,0,0,1,-,6,2,8,3,6,2,9,3.5
Neve,0,0,0,-,0,0,0,-,6,2,6,2,6,2,6,2
n.d.,0,0,0,-,0,0,0,-,13,8,8,0,13,8,8,0
Total,145,78,83,0.0641025641025641,418,311,364,0.17041800643086824,10667,6636,7717,0.16289933694996983,11230,7025,8164,0.16213523131672591
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
