"Quadro 3.6 Vítimas mortais em Portugal por milhão de habitantes, segundo o grupo etário",,,,,,,,,,,
,,,,,,,,,,,
Grupo etário,População (2021),VM,VM/milhão habitantes de Portugal,,,,,,,,
,,,,,,,,,,,
<=14,1331188,14,10.516921727058838,,,,,,,,
15-19,528190,24,45.43819458906833,,,,,,,,
20-24,559897,36,64.29754044047388,,,,,,,,
25-29,541861,39,71.9741778795669,,,,,,,,
30-34,561085,32,57.03235695126407,,,,,,,,
35-39,645232,42,65.09286582190592,,,,,,,,
40-44,757622,32,42.237421827771634,,,,,,,,
45-49,797793,46,57.65906695095094,,,,,,,,
50-54,748929,42,56.08008235760666,,,,,,,,
55-59,743288,47,63.232555886816414,,,,,,,,
60-64,704342,46,65.30918218706253,,,,,,,,
65-69,654094,27,41.278470678526325,,,,,,,,
70-74,589932,35,59.328871802173815,,,,,,,,
>=75,1179613,99,83.92582991201353,,,,,,,,
Total,10343066,561,54.239236218738235,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
