Quadro 6.6 Condutores vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Bom tempo,343,304,332,0.09210526315789469,1315,1117,1338,0.19785138764547905,22978,18006,20731,0.15133844274130848,24636,19427,22401,0.15308591136047767
Chuva,58,45,43,-0.0444444444444444,174,141,138,-0.021276595744680882,5605,3697,3467,-0.06221260481471458,5837,3883,3648,-0.060520216327581755
Nevoeiro,2,6,2,-0.6666666666666667,21,15,12,-0.19999999999999996,196,166,142,-0.14457831325301207,219,187,156,-0.1657754010695187
Vento,0,2,1,-0.5,2,0,1,1,16,21,15,-0.2857142857142857,18,23,17,-0.26086956521739135
Granizo,0,0,0,-,1,0,0,-,28,7,12,0.7142857142857142,29,7,12,0.7142857142857142
Neve,0,0,0,-,0,0,1,1,7,4,20,4,7,4,21,4.25
Fumo,0,0,0,-,2,0,0,-,5,2,1,-0.5,7,2,1,-0.5
n.d.,0,0,0,-,0,2,1,-0.5,41,35,31,-0.11428571428571432,41,37,32,-0.1351351351351351
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
