Quadro 6.7 Condutores vítimas em Portugal por luminosidade,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luminosidade,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Dia,229,219,252,0.15068493150684925,916,832,1005,0.2079326923076923,20632,15747,18369,0.1665079062678605,21777,16798,19626,0.1683533754018336
Noite,154,118,112,-0.05084745762711862,536,385,431,0.11948051948051952,7055,5304,5275,-0.005467571644042213,7745,5807,5818,0.0018942655415876697
Aurora/Crepúsculo,20,20,14,-0.30000000000000004,63,58,55,-0.051724137931034475,1174,883,771,-0.1268403171007928,1257,961,840,-0.12591050988553587
n.d.,0,0,0,-,0,0,0,-,15,4,4,0,15,4,4,0
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
