Quadro 6.3 Condutores vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Jan,38,24,21,-0.125,90,83,60,-0.27710843373493976,2198,2119,1322,-0.37612081170363376,2326,2226,1403,-0.36972147349505835
Fev,33,23,11,-0.5217391304347826,86,113,52,-0.5398230088495575,1910,1969,954,-0.5154900964956831,2029,2105,1017,-0.5168646080760095
Mar,28,22,18,-0.18181818181818177,117,76,94,0.23684210526315796,2262,1408,1494,0.061079545454545414,2407,1506,1606,0.06640106241699861
Abr,28,14,19,0.3571428571428572,114,40,114,1.85,2218,785,1819,1.3171974522292995,2360,839,1952,1.3265792610250298
Mai,36,33,45,0.36363636363636354,145,113,139,0.23008849557522115,2554,1508,2263,0.5006631299734747,2735,1654,2447,0.47944377267230953
Jun,31,35,34,-0.02857142857142858,134,121,145,0.19834710743801653,2363,1836,2328,0.26797385620915026,2528,1992,2507,0.25853413654618485
Jul,32,50,40,-0.19999999999999996,152,148,158,0.06756756756756754,2799,2324,2475,0.06497418244406195,2983,2522,2673,0.05987311657414751
Ago,46,32,47,0.46875,186,151,178,0.17880794701986757,2723,2294,2575,0.12249346120313853,2955,2477,2800,0.13039967702866373
Set,39,41,38,-0.07317073170731703,134,115,163,0.4173913043478261,2502,2112,2358,0.11647727272727271,2675,2268,2559,0.12830687830687837
Out,26,35,34,-0.02857142857142858,129,116,141,0.21551724137931028,2724,1992,2518,0.26405622489959835,2879,2143,2693,0.25664955669622036
Nov,34,25,33,0.32000000000000006,113,91,118,0.29670329670329676,2335,1754,2156,0.22919042189281646,2482,1870,2307,0.23368983957219247
Dez,32,23,38,0.6521739130434783,115,108,129,0.19444444444444442,2288,1837,2157,0.17419706042460525,2435,1968,2324,0.18089430894308944
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
