Quadro 6.13 Condutores vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Categoria de veículo,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,,VM/100 vítimas,,,FG/100 vítimas,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,2019,2020,2021
Automóvel ligeiro,191,174,174,0,624,546,610,0.11721611721611724,17396,12085,13504,0.11741828713280933,18211,12805,14288,0.11581413510347516,1.048816649277909,1.3588442014837954,1.217805151175812,3.4265004667508645,4.263959390862944,4.269316909294513
Automóvel pesado,7,9,6,-0.33333333333333337,29,14,22,0.5714285714285714,273,208,247,0.1875,309,231,275,0.19047619047619047,2.26537216828479,3.896103896103896,2.1818181818181817,9.385113268608414,6.0606060606060606,8
Ciclomotor,34,26,29,0.11538461538461542,153,114,123,0.07894736842105265,2198,1663,1731,0.040889957907396246,2385,1803,1883,0.0443704936217415,1.4255765199161425,1.4420410427066,1.540095592140202,6.415094339622641,6.322795341098169,6.5321295804567185
Motociclo cilindrada <= 125cc,34,31,25,-0.19354838709677424,206,153,231,0.5098039215686274,3989,3386,3796,0.12108682811577087,4229,3570,4052,0.13501400560224086,0.8039725703476,0.8683473389355741,0.6169792694965449,4.871127926223694,4.285714285714286,5.700888450148074
Motociclo cilindrada > 125cc,84,81,81,0,319,272,312,0.1470588235294117,2511,2128,2316,0.08834586466165417,2914,2481,2709,0.09189842805320425,2.8826355525051475,3.2648125755743655,2.990033222591362,10.947151681537406,10.963321241434906,11.517165005537098
Velocípede,27,19,34,0.7894736842105263,120,120,145,0.20833333333333326,2127,2114,2501,0.18306527909176906,2274,2253,2680,0.18952507767421212,1.187335092348285,0.8433200177541056,1.2686567164179103,5.277044854881267,5.326231691078561,5.41044776119403
Quadriciclo,11,6,11,0.8333333333333333,36,25,24,-0.040000000000000036,246,209,185,-0.11483253588516751,293,240,220,-0.08333333333333337,3.7542662116040955,2.5,5,12.286689419795222,10.416666666666668,10.909090909090908
Triciclo,0,0,0,-,1,4,2,-0.5,23,22,16,-0.2727272727272727,24,26,18,-0.3076923076923077,0,0,0,4.166666666666667,15.384615384615383,11.11111111111111
Veículo agrícola,14,11,17,0.5454545454545454,22,21,20,-0.04761904761904767,81,91,86,-0.05494505494505497,117,123,123,0,11.965811965811966,8.94308943089431,13.821138211382115,18.803418803418804,17.073170731707318,16.260162601626018
Outros*,1,0,1,1,5,6,2,-0.6666666666666667,32,32,37,0.15625,38,38,40,0.05263157894736836,2.6315789473684212,0,2.5,13.157894736842104,15.789473684210526,5
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976,1.308696499318049,1.5146372507424692,1.4379184418746196,4.919789569396635,5.409418752651676,5.671789409616555
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
