Quadro 5.11 Passageiros vítimas em Portugal por distrito e RA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e RA,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Aveiro,3,2,7,2.5,28,17,18,0.05882352941176472,723,463,514,0.1101511879049677,754,482,539,0.1182572614107884
Beja,13,6,5,-0.16666666666666663,20,24,20,-0.16666666666666663,186,122,140,0.14754098360655732,219,152,165,0.08552631578947367
Braga,5,2,10,4,23,17,32,0.8823529411764706,980,589,684,0.16129032258064524,1008,608,726,0.19407894736842102
Bragança,0,1,2,1,13,10,9,-0.09999999999999998,129,70,94,0.34285714285714275,142,81,105,0.2962962962962963
C. Branco,6,5,1,-0.8,12,14,8,-0.4285714285714286,178,113,132,0.16814159292035402,196,132,141,0.06818181818181812
Coimbra,8,3,3,0,10,16,11,-0.3125,435,294,349,0.18707482993197289,453,313,363,0.15974440894568698
Évora,5,3,1,-0.6666666666666667,18,10,10,0,166,101,115,0.13861386138613851,189,114,126,0.10526315789473695
Faro,4,4,5,0.25,35,20,23,0.1499999999999999,543,315,357,0.1333333333333333,582,339,385,0.13569321533923295
Guarda,3,4,0,-1,18,6,5,-0.16666666666666663,143,81,85,0.04938271604938271,164,91,90,-0.01098901098901095
Leiria,8,5,3,-0.4,22,16,14,-0.125,472,299,381,0.274247491638796,502,320,398,0.2437499999999999
Lisboa,11,8,11,0.375,34,28,42,0.5,2090,1263,1408,0.11480601741884411,2135,1299,1461,0.12471131639722866
Portalegre,1,5,1,-0.8,13,19,8,-0.5789473684210527,104,81,77,-0.04938271604938271,118,105,86,-0.18095238095238098
Porto,18,6,6,0,27,25,25,0,1854,1072,1280,0.19402985074626855,1899,1103,1311,0.18857660924750674
Santarém,9,6,7,0.16666666666666674,41,25,46,0.8400000000000001,508,343,386,0.12536443148688048,558,374,439,0.1737967914438503
Setúbal,3,3,10,2.3333333333333335,21,17,19,0.11764705882352944,820,532,641,0.20488721804511267,844,552,670,0.21376811594202905
V. Castelo,2,6,5,-0.16666666666666663,10,10,8,-0.19999999999999996,250,167,182,0.08982035928143706,262,183,195,0.06557377049180335
Vila Real,1,1,1,0,5,11,14,0.2727272727272727,263,154,176,0.1428571428571428,269,166,191,0.1506024096385543
Viseu,9,2,3,0.5,18,11,14,0.2727272727272727,405,265,330,0.24528301886792447,432,278,347,0.24820143884892087
RA Açores,6,4,1,-0.75,24,8,27,2.375,182,134,179,0.33582089552238803,212,146,207,0.4178082191780821
RA Madeira,30,2,1,-0.5,26,7,11,0.5714285714285714,236,178,207,0.1629213483146068,292,187,219,0.17112299465240643
Total,145,78,83,0.0641025641025641,418,311,364,0.17041800643086824,10667,6636,7717,0.16289933694996983,11230,7025,8164,0.16213523131672591
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
