Quadro 4.11  Peões vítimas em Portugal por ação do peão,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ação,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Em plena faixa de rodagem,48,29,30,0.034482758620689724,78,44,38,-0.13636363636363635,585,415,456,0.0987951807228915,711,488,524,0.07377049180327866
Atravessando em passagem sinalizada,21,18,22,0.22222222222222232,145,95,105,0.10526315789473695,2481,1528,1606,0.05104712041884807,2647,1641,1733,0.0560633759902498
Transitando pela berma ou passeio,22,17,13,-0.23529411764705888,40,29,30,0.034482758620689724,487,365,364,-0.002739726027397249,549,411,407,-0.009732360097323589
Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem,19,13,8,-0.3846153846153846,55,30,27,-0.09999999999999998,401,252,269,0.06746031746031744,475,295,304,0.03050847457627115
"Atravessando fora da passagem de peões, a menos de 50m de uma passagem",8,7,7,0,44,39,40,0.02564102564102555,541,356,392,0.101123595505618,593,402,439,0.09203980099502496
A sair ou entrar num veículo,3,4,4,0,17,9,11,0.22222222222222232,153,97,115,0.18556701030927836,173,110,130,0.18181818181818188
Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo,7,1,4,3,30,18,24,0.33333333333333326,297,140,185,0.3214285714285714,334,159,213,0.3396226415094339
Transitando pela esquerda da faixa de rodagem,1,3,4,0.33333333333333326,8,3,4,0.33333333333333326,68,51,55,0.07843137254901955,77,57,63,0.10526315789473695
Transitando pela direita da faixa de rodagem,6,2,3,0.5,14,14,8,-0.4285714285714286,131,123,108,-0.12195121951219512,151,139,119,-0.14388489208633093
Atravessando em passagem sinalizada com desrespeito da sinalização semafórica,2,3,2,-0.33333333333333337,6,4,7,0.75,111,54,59,0.09259259259259256,119,61,68,0.11475409836065564
Em trabalhos na via,1,1,2,1,9,5,7,0.3999999999999999,59,41,49,0.19512195121951215,69,47,58,0.23404255319148937
Em ilhéu ou refúgio na via,1,2,0,-1,4,1,4,3,49,44,35,-0.20454545454545459,54,47,39,-0.17021276595744683
n.d.,1,1,1,0,0,0,1,1,28,18,24,0.33333333333333326,29,19,26,0.368421052631579
Total,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
