Quadro 6.4 Condutores vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Segunda-Feira,51,51,43,-0.1568627450980392,160,144,182,0.26388888888888884,4140,3168,3565,0.12531565656565657,4351,3363,3790,0.1269699672911091
Terça-Feira,46,48,50,0.04166666666666674,201,160,190,0.1875,4225,3040,3508,0.1539473684210526,4472,3248,3748,0.15394088669950734
Quarta-Feira,41,36,52,0.4444444444444444,169,157,194,0.23566878980891715,4162,3112,3638,0.16902313624678666,4372,3305,3884,0.17518910741301053
Quinta-Feira,60,52,43,-0.17307692307692313,186,150,184,0.22666666666666657,4305,3234,3522,0.08905380333951762,4551,3436,3749,0.09109429569266592
Sexta-Feira,61,61,66,0.08196721311475419,233,202,246,0.2178217821782178,4476,3507,3970,0.13202167094382666,4770,3770,4282,0.13580901856763927
Sábado,71,57,61,0.07017543859649122,299,242,252,0.04132231404958686,4047,3107,3282,0.05632442870936605,4417,3406,3595,0.055490311215502075
Domingo,73,52,63,0.21153846153846145,267,220,243,0.1045454545454545,3521,2770,2934,0.05920577617328515,3861,3042,3240,0.06508875739644981
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
