Quadro 5.7 Passageiros vítimas em Portugal por luminosidade,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luminosidade,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Dia,101,43,52,0.20930232558139528,242,166,213,0.2831325301204819,7258,4496,5474,0.217526690391459,7601,4705,5739,0.2197662061636556
Noite,42,33,29,-0.12121212121212122,161,128,127,-0.0078125,2923,1890,1955,0.03439153439153442,3126,2051,2111,0.029254022428083948
Aurora/Crepúsculo,2,2,2,0,14,17,24,0.41176470588235303,479,250,288,0.1519999999999999,495,269,314,0.16728624535315983
n.d.,0,0,0,-,1,0,0,-,7,0,0,-,8,0,0,-
Total,145,78,83,0.0641025641025641,418,311,364,0.17041800643086824,10667,6636,7717,0.16289933694996983,11230,7025,8164,0.16213523131672591
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
