Quadro 6.16 Condutores vítimas em Portugal por acessórios de segurança,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Acessório de segurança,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Com capacete,152,130,139,0.0692307692307692,692,531,675,0.27118644067796605,8787,7260,7941,0.09380165289256204,9631,7921,8755,0.10528973614442627
Com cinto de segurança,176,158,162,0.025316455696202445,641,534,602,0.12734082397003754,17663,12293,13735,0.11730252989506229,18480,12985,14499,0.11659607239122072
Isento,40,29,47,0.6206896551724137,132,139,153,0.1007194244604317,1972,1948,2285,0.1729979466119096,2144,2116,2485,0.1743856332703213
Sem uso de cinto/capacete,33,35,29,-0.17142857142857137,39,44,36,-0.18181818181818177,178,145,204,0.40689655172413786,250,224,269,0.2008928571428572
n.d.,2,5,1,-0.8,11,27,25,-0.07407407407407407,276,292,254,-0.13013698630136983,289,324,280,-0.13580246913580252
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
