Quadro 6.8 Condutores vítimas em Portugal por natureza do acidente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Natureza,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Atropelamento,2,0,0,-,9,8,8,0,267,198,238,0.202020202020202,278,206,246,0.1941747572815533
Colisão,202,171,185,0.08187134502923987,809,656,778,0.18597560975609762,18293,13249,15232,0.14967167333383657,19304,14076,16195,0.1505399261153737
Despiste,199,186,193,0.037634408602150504,697,611,705,0.15384615384615374,10316,8491,8949,0.05393946531621707,11212,9288,9847,0.06018518518518512
Total,403,357,378,0.05882352941176472,1515,1275,1491,0.16941176470588237,28876,21938,24419,0.11309143951135026,30794,23570,26288,0.11531607976240976
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
