"Quadro 2.3.  Veículos intervenientes em acidentes com vítimas em Portugal, por NUTSI e categoria de veículo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
NUTS I e categoria de veículo ,Veículos intervenientes ,,,,,,,,,,,
,2019,2020,2021,2021 (%) ,∆(%)  21/20 ,∆(%)  21/19,,,,,,
Continente,58300,42598,47796,1,0.1220245081928728,-0.18017152658662094,,,,,,
Veículo ligeiro,43934,30519,34426,0.7202694786174575,0.12801861135685977,-0.2164155323894933,,,,,,
Veículo pesado,1620,1194,1294,0.027073395263201943,0.08375209380234505,-0.20123456790123462,,,,,,
Ciclomotor,2378,1780,1834,0.038371411833626246,0.030337078651685445,-0.22876366694701433,,,,,,
Motociclo cilindrada <= 125cc,4155,3528,3959,0.0828311992635367,0.12216553287981857,-0.04717208182912158,,,,,,
Motociclo cilindrada > 125cc,2946,2493,2736,0.05724328395681647,0.09747292418772568,-0.07128309572301428,,,,,,
Velocípede,2344,2289,2756,0.05766172901498033,0.2040192223678463,0.17576791808873726,,,,,,
Quadriciclo,326,272,251,0.005251485479956482,-0.07720588235294112,-0.23006134969325154,,,,,,
Triciclo,47,28,22,0.0004602895639802494,-0.2142857142857143,-0.5319148936170213,,,,,,
Veículo agrícola,212,189,194,0.004058917064189472,0.02645502645502651,-0.08490566037735847,,,,,,
Outros*,338,306,324,0.006778809942254582,0.05882352941176472,-0.041420118343195256,,,,,,
Açores,961,790,964,1,0.2202531645569621,0.003121748178980255,,,,,,
Veículo ligeiro,719,577,696,0.7219917012448133,0.20623916811091858,-0.03198887343532686,,,,,,
Veículo pesado,15,11,23,0.023858921161825725,1.0909090909090908,0.5333333333333334,,,,,,
Ciclomotor,78,71,70,0.07261410788381743,-0.014084507042253502,-0.10256410256410253,,,,,,
Motociclo cilindrada <= 125cc,56,37,69,0.07157676348547717,0.8648648648648649,0.2321428571428572,,,,,,
Motociclo cilindrada > 125cc,32,36,35,0.03630705394190872,-0.02777777777777779,0.09375,,,,,,
Velocípede,44,35,32,0.03319502074688797,-0.08571428571428574,-0.2727272727272727,,,,,,
Quadriciclo,11,9,21,0.021784232365145227,1.3333333333333335,0.9090909090909092,,,,,,
Triciclo,0,2,1,0.001037344398340249,-0.5,-,,,,,,
Veículo agrícola,4,10,14,0.014522821576763486,0.3999999999999999,2.5,,,,,,
Outros*,2,2,3,0.0031120331950207467,0.5,0.5,,,,,,
Madeira,1511,1166,1425,1,0.22212692967409953,-0.05691594970218394,,,,,,
Veículo ligeiro,1012,767,916,0.6428070175438596,0.19426336375488917,-0.09486166007905139,,,,,,
Veículo pesado,44,31,42,0.029473684210526315,0.35483870967741926,-0.045454545454545414,,,,,,
Ciclomotor,50,30,41,0.028771929824561403,0.3666666666666667,-0.18000000000000005,,,,,,
Motociclo cilindrada <= 125cc,240,184,242,0.16982456140350877,0.3152173913043479,0.008333333333333304,,,,,,
Motociclo cilindrada > 125cc,109,94,123,0.0863157894736842,0.3085106382978724,0.12844036697247696,,,,,,
Velocípede,43,43,49,0.0343859649122807,0.13953488372093026,0.13953488372093026,,,,,,
Quadriciclo,10,7,12,0.008421052631578947,0.7142857142857142,0.19999999999999996,,,,,,
Triciclo,0,1,0,0,-1,-,,,,,,
Veículo agrícola,0,3,0,0,-1,-,,,,,,
Outros*,3,6,0,0,-1,-1,,,,,,
Portugal,60772,44554,50185,,0.1263859586120213,-0.17420851708023433,,,,,,
