Quadro 4.3  Peões vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Jan,19,16,7,-0.5625,45,30,24,-0.19999999999999996,513,499,254,-0.49098196392785576,577,545,285,-0.47706422018348627
Fev,9,7,5,-0.2857142857142857,34,29,10,-0.6551724137931034,390,395,139,-0.6481012658227848,433,431,154,-0.642691415313225
Mar,13,6,11,0.8333333333333333,52,14,19,0.3571428571428572,475,221,214,-0.03167420814479638,540,241,244,0.012448132780082943
Abr,8,3,9,2,22,9,21,1.3333333333333335,352,55,242,3.4000000000000004,382,67,272,3.0597014925373136
Mai,7,7,5,-0.2857142857142857,35,22,28,0.2727272727272727,466,170,298,0.7529411764705882,508,199,331,0.6633165829145728
Jun,10,8,7,-0.125,38,20,26,0.30000000000000004,373,199,297,0.49246231155778886,421,227,330,0.45374449339207046
Jul,7,7,8,0.1428571428571428,26,25,29,0.15999999999999992,386,292,287,-0.017123287671232834,419,324,324,0
Ago,13,12,9,-0.25,41,25,17,-0.31999999999999995,368,289,289,0,422,326,315,-0.033742331288343586
Set,8,10,9,-0.09999999999999998,51,22,28,0.2727272727272727,403,319,354,0.10971786833855801,462,351,391,0.11396011396011385
Out,16,12,12,0,35,28,34,0.2142857142857142,512,353,429,0.2152974504249292,563,393,475,0.20865139949109412
Nov,13,4,13,2.25,42,36,41,0.13888888888888884,581,318,490,0.5408805031446542,636,358,544,0.5195530726256983
Dez,17,9,5,-0.4444444444444444,29,31,29,-0.06451612903225812,572,374,424,0.1336898395721926,618,414,458,0.106280193236715
Total,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
