Quadro 5.4 Passageiros vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Segunda-Feira,13,16,9,-0.4375,34,48,37,-0.22916666666666663,1377,869,988,0.13693901035673184,1424,933,1034,0.10825294748124326
Terça-Feira,14,11,7,-0.36363636363636365,53,46,40,-0.13043478260869568,1384,793,1055,0.33039092055485497,1451,850,1102,0.29647058823529404
Quarta-Feira,8,7,11,0.5714285714285714,42,35,49,0.3999999999999999,1376,879,996,0.13310580204778155,1426,921,1056,0.14657980456026065
Quinta-Feira,44,12,6,-0.5,53,40,33,-0.17500000000000004,1355,869,931,0.07134637514384345,1452,921,970,0.053203040173724236
Sexta-Feira,15,9,16,0.7777777777777777,56,33,49,0.48484848484848486,1490,976,1147,0.17520491803278682,1561,1018,1212,0.1905697445972494
Sábado,21,10,14,0.3999999999999999,79,57,77,0.3508771929824561,1803,1135,1243,0.09515418502202633,1903,1202,1334,0.10981697171381022
Domingo,30,13,20,0.5384615384615385,101,52,79,0.5192307692307692,1882,1115,1357,0.21704035874439453,2013,1180,1456,0.23389830508474585
Total,145,78,83,0.0641025641025641,418,311,364,0.17041800643086824,10667,6636,7717,0.16289933694996983,11230,7025,8164,0.16213523131672591
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
