Quadro 4.4  Peões vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Segunda-Feira,27,17,17,0,61,48,40,-0.16666666666666663,813,526,570,0.08365019011406849,901,591,627,0.060913705583756306
Terça-Feira,24,8,16,1,72,40,53,0.32499999999999996,843,526,632,0.20152091254752857,939,574,701,0.22125435540069693
Quarta-Feira,13,21,16,-0.23809523809523814,62,50,51,0.020000000000000018,867,550,607,0.10363636363636353,942,621,674,0.08534621578099832
Quinta-Feira,20,21,18,-0.1428571428571429,75,35,46,0.3142857142857143,907,571,583,0.021015761821365997,1002,627,647,0.03189792663476876
Sexta-Feira,28,15,12,-0.19999999999999996,76,59,52,-0.11864406779661019,935,652,673,0.03220858895705514,1039,726,737,0.015151515151515138
Sábado,16,14,14,0,63,27,40,0.4814814814814814,604,386,363,-0.059585492227979264,683,427,417,-0.023419203747072626
Domingo,12,5,7,0.3999999999999999,41,32,24,-0.25,422,273,289,0.05860805860805862,475,310,320,0.032258064516129004
Total,140,101,100,-0.00990099009900991,450,291,306,0.05154639175257736,5391,3484,3717,0.06687715269804828,5981,3876,4123,0.06372549019607843
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
