,Vítimas mortais (M) por 1 milhão de habitantes,,,,,,
,<=14,15-19,20-24,25-29,30-34,35-39,40-44
"População(1)
M/Milhão hab.","1520178
12","525908
74","568615
135","674461
101","777242
81","799878
75","745224
60"
