,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2010 2011,2010 2011,2010 2011,2010 2011
"Com capacete/cinto segurança
Com sistema retenção criança
Sem capacete/cinto segurança
Sem sistema retenção criança","137 118
3 1
39 37
1 2","452 370
27 28
82 68
8 5","10129 8729
1148 983
940 831
86 65","10718 9217
1178 1012
1061 936
95 72"
Total(1),190 161,590 489,12564 10793,13344 11443
