,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2010 2011,2010 2011,2010 2011,2010 2011
"Com capacete/cinto segurança
Sem capacete/cinto segurança
Isentos
Não definidos","429 395
49 50
63 73
11 13","1254 1117
68 53
102 107
33 37","23821 21631
199 197
1307 1460
658 449","25504 23143
316 300
1472 1640
702 499"
Total,552 531,1457 1314,25985 23737,27994 25582
