,Feminino,Masculino,Total(1)
,2010 2011,2010 2011,2010 2011
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7649 6668
979 904
814 688
834 713
579 524
525 423
470 387
447 379
450 389
465 394
456 350
428 394
352 339
366 297
442 455
42 32","4895 4118
960 846
675 596
750 589
475 421
354 305
284 274
261 204
218 202
205 152
149 134
119 94
104 82
114 71
180 122
47 26","12564 10793
1941 1750
1491 1285
1585 1302
1055 945
879 728
754 661
708 583
668 592
672 546
605 484
548 488
456 422
481 368
622 578
99 61"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","8039 6992
1010 938
856 722
874 748
614 537
548 442
486 408
464 399
472 413
494 414
481 372
448 406
380 360
387 311
481 490
44 32","5284 4444
1003 879
747 652
808 669
520 450
399 324
312 291
278 221
237 221
213 166
161 145
127 103
112 86
120 77
198 134
49 26","13344 11443
2015 1817
1605 1375
1684 1417
1135 987
947 766
798 699
742 620
709 635
709 580
642 517
576 509
492 447
508 388
679 625
103 61"
