,"Acidentes c/
vítimas
2010 2011","Vítimas
mortais
2010 2011","Feridos
graves
2010 2011","Feridos leves
2010 2011","Total de
vítimas
2010 2011","Índice de
gravidade
2010 2011"
Auto-Estrada,2934 2272,110 84,235 141,4098 3258,4443 3483,"3,7 3,7"
"Est. Nacional
Dentro localidades
Fora localidades","8191 7324
4342 3898
3849 3426","371 308
162 115
209 193","784 694
310 274
474 420","10678 9492
5644 5067
5034 4425","11833 10494
6116 5456
5717 5038","4,5 4,2
3,7 3,0
5,4 5,6"
"IP/IC
Dentro localidades
Fora localidades","1321 1134
371 297
950 837","65 70
5 10
60 60","164 114
21 13
143 101","1833 1531
490 385
1343 1146","2062 1715
516 408
1546 1307","4,9 6,2
1,3 3,4
6,3 7,2"
"Est. Municipal
Dentro localidades
Fora localidades","2486 2077
873 645
1613 1432","88 81
25 28
63 53","273 231
67 68
206 163","3008 2447
1057 730
1951 1717","3369 2759
1149 826
2220 1933","3,5 3,9
2,9 4,3
3,9 3,7"
Arruamentos,19741 19086,287 322,973 1028,23282 22155,24542 23505,"1,5 1,7"
"Outras(1)
Dentro localidades
Fora localidades","753 648
363 288
390 360","16 26
5 12
11 14","46 57
17 21
29 36","991 812
476 356
515 456","1053 895
498 389
555 506","2,1 4,0
1,4 4,2
2,8 3,9"
"Total
Dentro localidades
Fora localidades","35426 32541
25690 24214
9736 8327","937 891
484 487
453 404","2475 2265
1388 1404
1087 861","43890 39695
30949 28693
12941 11002","47302 42851
32821 30584
14481 12267","2,6 2,7
1,9 2,0
4,7 4,9"
