,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2010 2011,2010 2011,2010 2011,2010 2011
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","43 50
34 35
48 42
38 38
41 44
41 39
68 41
62 54
47 44
43 59
41 41
46 44","84 81
99 91
97 88
107 129
148 110
124 116
155 133
176 128
119 116
124 120
101 94
123 108","1951 1835
1728 1895
2034 1895
1992 1976
2245 1953
2136 2050
2373 2118
2329 2144
2234 1936
2511 2130
2192 1902
2260 1903","2078 1966
1861 2021
2179 2025
2137 2143
2434 2107
2301 2205
2596 2292
2567 2326
2400 2096
2678 2309
2334 2037
2429 2055"
Total,552 531,1457 1314,25985 23737,27994 25582
