,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas,"Mortos por cada
100 vítimas"
,2010 2011,2010 2011,2010 2011,2010 2011,2010 2011
"Peões
Veíc.ligeiros*
Veíc. Pesados*
Velocípedes*
Ciclomotores*
Motociclos*
Outros*","195 199
463 410
14 16
33 45
77 71
126 116
29 34","428 462
1345 1073
43 43
67 82
231 237
325 327
36 41","5341 5165
29521 25577
767 670
1121 1358
3431 3089
3413 3614
296 222","5964 5826
31329 27060
824 729
1221 1485
3739 3397
3864 4057
361 297","3,3 3,4
1,5 1,5
1,7 2,2
2,7 3,0
2,1 2,1
3,3 2,9
8,0 11,4"
Total,937 891,2475 2265,43890 39695,47302 42851,"2,0 2,1"
