,Feminino,Masculino,Total(1)
,2010 2011,2010 2011,2010 2011
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","8785 7829
17 28
312 334
1176 980
1336 1103
1349 1142
1143 1076
969 851
784 744
613 584
454 380
272 264
168 172
101 94
89 74
2 3","17177 15891
156 158
1080 951
1992 1741
1999 1723
2073 1819
1802 1758
1507 1400
1332 1325
1168 1127
1020 913
830 815
668 646
692 618
853 890
5 7","25985 23737
173 186
1393 1285
3169 2722
3336 2828
3424 2962
2947 2836
2478 2252
2116 2070
1781 1712
1475 1293
1102 1080
836 818
793 712
943 964
19 17"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","9043 8055
18 31
326 351
1214 1011
1371 1129
1378 1165
1181 1096
993 866
806 771
634 608
469 392
280 279
174 176
104 97
93 80
2 3","18928 17510
168 173
1168 1038
2179 1905
2207 1902
2270 1984
1982 1928
1653 1532
1469 1475
1296 1236
1106 1021
919 901
755 718
781 686
970 1004
5 7","27994 25582
186 204
1495 1389
3394 2917
3579 3033
3650 3150
3165 3026
2648 2399
2275 2247
1930 1845
1576 1413
1199 1181
929 894
885 783
1064 1084
19 17"
