,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2010 2011,2010 2011,2010 2011,2010 2011
"Segunda
Terça
Quarta
Quinta
Sexta
Sábado
Domingo","29 23
24 9
18 15
11 22
26 18
39 33
43 41","86 51
67 47
63 52
54 53
79 70
109 119
132 97","1714 1439
1513 1291
1473 1312
1476 1257
1783 1522
2069 1966
2536 2006","1829 1513
1604 1347
1554 1379
1541 1332
1888 1610
2217 2118
2711 2144"
Total,190 161,590 489,12564 10793,13344 11443
