,Feminino,Masculino,Total(1)
,2010 2011,2010 2011,2010 2011
"<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","19 31
472 481
1900 1652
2286 1919
2419 2034
2185 2126
1779 1663
1477 1377
1094 1060
745 738
484 514
303 305
160 161
152 132
7 10","180 181
1761 1593
4332 3726
4513 3841
4733 4109
4434 4131
3777 3497
3535 3263
3085 2869
2646 2401
2211 2124
1680 1588
1438 1320
1651 1730
77 39","200 212
2234 2074
6234 5381
6805 5764
7161 6146
6621 6261
5559 5164
5018 4645
4180 3931
3393 3140
2695 2640
1983 1893
1598 1481
1805 1862
1581 1521"
Total,15482 14203,40053 36412,57067 52115
