,Feminino,Masculino,Total(1)
,2010 2011,2010 2011,2010 2011
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","80 85
4 1
3 7
7 11
8 4
7 5
0 3
4 5
6 7
8 5
3 7
4 3
5 5
3 6
18 16
0 0","110 76
9 4
13 9
17 20
12 11
17 3
11 2
7 3
5 7
4 4
3 4
2 3
2 0
1 2
7 4
0 0","190 161
13 5
16 16
24 31
20 15
24 8
11 5
11 8
11 14
12 9
6 11
6 6
7 5
4 8
25 20
0 0"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","310 239
27 33
39 27
33 24
27 9
16 14
16 18
13 15
16 17
21 15
22 15
16 9
23 16
18 8
21 19
2 0","279 250
34 29
59 47
41 60
33 18
28 16
17 15
10 14
14 12
4 10
9 7
6 6
6 4
5 4
11 8
2 0","590 489
61 62
98 74
75 84
60 27
44 30
33 33
23 29
30 29
25 25
31 22
22 15
29 20
23 12
32 27
4 0"
