,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas,"Mortos por cada
100 vítimas"
,2010 2011,2010 2011,2010 2011,2010 2011,2010 2011
"Condutores
Passageiros
Peões","552 531
190 161
195 199","1457 1314
590 489
428 462","25985 23737
12564 10793
5341 5165","27994 25582
13344 11443
5964 5826","2 2
1 1
3 3"
Total,937 891,2475 2265,43890 39695,47302 42851,2 2
