,"Acidentes c/
vítimas","Vítimas
mortais",Feridos graves,Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2010 2011,2010 2011,2010 2011,2010 2011,2010 2011,2010 2011
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","2746 2560
2459 2581
2780 2565
2678 2691
2957 2656
2881 2693
3180 2871
3193 2915
2936 2683
3365 2977
3085 2669
3166 2680","83 84
63 65
74 69
58 60
69 68
70 64
99 74
102 98
73 66
79 94
76 71
91 78","161 146
159 157
154 159
172 208
226 176
211 197
277 205
306 223
211 202
211 211
177 180
210 201","3311 3072
3004 3089
3420 3089
3324 3343
3638 3224
3540 3311
3964 3547
4172 3713
3682 3284
4179 3539
3753 3181
3903 3303","3555 3302
3226 3311
3648 3317
3554 3611
3933 3468
3821 3572
4340 3826
4580 4034
3966 3552
4469 3844
4006 3432
4204 3582","3,0 3,3
2,6 2,5
2,7 2,7
2,2 2,2
2,3 2,6
2,4 2,4
3,1 2,6
3,2 3,4
2,5 2,5
2,3 3,2
2,5 2,7
2,9 2,9"
Total,35426 32541,937 891,2475 2265,43890 39695,47302 42851,"2,6 2,7"
