,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2010 2011,2010 2011,2010 2011,2010 2011,2010 2011
"< 1 ano
1 a 5 anos
6 a 10 anos
11 a 20 anos
>= 20 anos
Não definido","12 16
111 95
84 57
114 120
161 162
10 14","45 43
336 308
215 181
332 300
311 279
51 44","1199 1011
6670 6425
4671 3682
6230 5824
4747 4411
812 638","1256 1070
7117 6828
4970 3920
6676 6244
5219 4852
873 696","2389 2052
14933 14057
9905 8265
13378 12482
10667 9879
3694 3191"
Total(1),492 464,1290 1155,24329 21991,26111 23610,54966 49926
