,Feminino,Masculino,Total(1)
,2010 2011,2010 2011,2010 2011
"Vítimas mortais
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","77 79
1 1
1 2
0 1
2 2
2 1
1 0
5 0
3 0
2 1
4 2
3 3
6 7
1 7
8 9
9 8
29 35
0 0","118 120
2 3
0 0
0 4
1 1
2 2
3 4
5 1
3 10
7 3
11 11
8 10
6 9
8 8
9 7
16 9
36 38
1 0","195 199
3 4
1 2
0 5
3 3
4 3
4 4
10 1
6 10
9 4
15 13
11 13
12 16
9 15
17 16
25 17
65 73
1 0"
"Feridos Graves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","203 224
5 5
4 6
14 9
19 8
6 10
6 9
10 7
9 8
10 7
10 15
12 11
13 12
15 20
8 18
27 20
35 59
0 0","225 237
8 5
4 10
17 22
10 18
11 11
7 5
13 13
11 8
10 9
18 13
12 8
20 17
16 18
15 18
14 20
39 41
0 1","428 462
13 10
8 16
31 31
29 26
17 21
13 14
23 20
20 16
20 16
28 28
24 19
33 30
31 38
23 36
41 40
74 100
0 1"
