,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2010 2011,2010 2011,2010 2011,2010 2011,2010 2011
"Aut. ligeiro
Aut. pesado
Velocípedes
Ciclomotores
Motociclos
Outros(1)","291 262
12 12
33 45
75 66
117 114
24 32","823 660
29 30
66 79
214 218
295 295
30 32","18202 15913
369 330
1093 1340
3038 2745
3057 3249
226 160","19316 16835
410 372
1192 1464
3327 3029
3469 3658
280 224","45797 41121
2204 1889
1259 1531
3581 3257
3718 3870
508 447"
Total,552 531,1457 1314,25985 23737,27994 25582,57067 52115
