,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2010 2011,2010 2011,2010 2011,2010 2011
"Segunda
Terça
Quarta
Quinta
Sexta
Sábado
Domingo","65 66
69 80
57 53
77 73
77 79
105 102
102 78","205 166
192 142
177 162
190 186
178 211
261 229
254 218","3926 3588
3684 3385
3714 3456
3499 3220
4182 3783
3640 3444
3340 2861","4196 3820
3945 3607
3948 3671
3766 3479
4437 4073
4006 3775
3696 3157"
Total,552 531,1457 1314,25985 23737,27994 25582
