,Feminino,Masculino,Total(1)
,2010 2011,2010 2011,2010 2011
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","46 52
0 0
1 3
7 8
6 7
6 3
9 1
3 2
5 7
2 8
3 3
1 4
2 2
1 2
0 2
0 0","506 479
1 3
9 17
35 35
52 42
57 51
44 44
40 31
38 33
47 36
32 41
27 27
35 30
36 32
53 57
0 0","552 531
1 3
10 20
42 43
58 49
63 54
53 45
43 33
43 40
49 44
35 44
28 31
37 32
37 34
53 59
0 0"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","212 174
1 3
13 14
31 23
29 19
23 20
29 19
21 13
17 20
19 16
12 9
7 11
4 2
2 1
4 4
0 0","1245 1140
11 12
79 70
152 129
156 137
140 114
136 126
106 101
99 117
81 73
54 67
62 59
52 42
53 36
64 57
0 0","1457 1314
12 15
92 84
183 152
185 156
163 134
165 145
127 114
116 137
100 89
66 76
69 70
56 44
55 37
68 61
0 0"
