,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2010 2011,2010 2011,2010 2011,2010 2011,2010 2011
"Adequada ao veículo
Não adequada
Em instrução/exame
Caducada/suspensa
Sem licença/carta
Não necessária
Não definido","473 444
9 9
0 0
4 4
30 22
30 45
6 7","1243 1113
15 15
0 0
9 8
99 83
68 76
23 19","23766 21506
157 157
12 13
82 88
552 407
1092 1326
324 240","25482 23063
181 181
12 13
95 100
681 512
1190 1447
353 266","52035 47281
285 262
20 17
133 166
833 660
1248 1512
2513 2217"
Total,552 531,1457 1314,25985 23737,27994 25582,57067 52115
