,,Total de vítimas,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
Peões,"2010
2011
11/10","954
929
-25","472
429
-43","316
298
-18","234
216
-18","250
254
4","328
283
-45","275
301
26","330
321
-9","375
304
-71","395
358
-37","380
380
0","1649
1748
99","5964
5826
-138"
"Veículo
Ligeiro*","2010
2011
11/10","1891
1690
-201","2067
1825
-242","4228
3543
-685","3704
3071
-633","3444
2826
-618","2881
2621
-260","2518
2132
-386","2190
2018
-172","1968
1689
-279","1685
1354
-331","1353
1253
-100","3295
2965
-330","31329
27060
-4269"
"Veículo
Pesado*","2010
2011
11/10","22
33
11","47
19
-28","52
36
-16","71
45
-26","83
70
-13","98
96
-2","85
93
8","96
79
-17","87
69
-18","61
71
10","39
43
4","78
75
-3","824
729
-95"
Velocípede**,"2010
2011
11/10","170
206
36","159
154
-5","84
81
-3","70
79
9","96
119
23","104
124
20","83
119
36","79
143
64","61
109
48","68
80
12","57
55
-2","187
213
26","1221
1485
264"
Ciclomotor*,"2010
2011
11/10","63
50
-13","404
335
-69","233
198
-35","202
153
-49","253
195
-58","312
282
-30","320
306
-14","347
332
-15","325
312
-13","283
274
-9","228
232
4","765
728
-37","3739
3397
-342"
Motociclo*,"2010
2011
11/10","36
33
-3","401
420
19","466
460
-6","647
661
14","696
694
-2","546
585
39","359
360
1","242
295
53","178
223
45","90
125
35","74
77
3","126
122
-4","3864
4057
193"
Total (2),"2010
2011
11/10","3155
2950
-205","3572
3193
-379","5394
4632
-762","4948
4236
-712","4847
4170
-677","4291
4008
-283","3665
3320
-345","3314
3203
-111","3014
2729
-285","2613
2288
-325","2155
2070
-85","6206
5969
-237","47302
42851
-4451"
