,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2010 2011,2010 2011,2010 2011,2010 2011
"Dia
Noite
Aurora ou crepúsculo","329 327
196 177
27 27","934 798
473 441
49 71","18441 16983
6601 5955
816 726","19704 18108
7270 6573
892 824"
Total(1),552 531,1457 1314,25985 23737,27994 25582
