,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2010 2011,2010 2011,2010 2011,2010 2011
"00-03
03-06
06-09
09-12
12-15
15-18
18-21
21-24","19 13
17 24
23 20
21 18
22 24
41 25
28 25
19 12","59 47
41 50
67 63
62 52
65 49
148 89
93 79
55 60","823 663
505 416
1325 1087
1688 1504
1986 1744
2826 2350
2185 2016
1226 1013","901 723
563 490
1415 1170
1771 1574
2073 1817
3015 2464
2306 2120
1300 1085"
Total,190 161,590 489,12564 10793,13344 11443
