,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2010 2011,2010 2011,2010 2011,2010 2011
"Dentro das localidades
Janeiro
Fevereiro
Março
Abril
Maio
Junho
Julho
Agosto
Setembro
Outubro
Novembro
Dezembro","165 166
23 15
9 17
14 13
10 10
8 13
15 10
8 13
10 21
12 9
12 12
20 14
24 19","385 420
36 32
20 29
32 36
24 34
23 31
36 39
33 37
42 38
31 31
37 34
31 36
40 43","5179 5045
465 473
417 427
441 404
378 416
383 395
414 334
383 359
368 362
398 448
472 494
548 494
512 439","5729 5631
524 520
446 473
487 453
412 460
414 439
465 383
424 409
420 421
441 488
521 540
599 544
576 501"
"Fora das localidades
Janeiro
Fevereiro
Março
Abril
Maio
Junho
Julho
Agosto
Setembro
Outubro
Novembro
Dezembro","30 33
1 3
3 1
2 1
0 1
3 1
2 2
3 4
3 2
3 1
2 5
3 5
5 7","43 42
7 4
1 5
2 4
3 1
5 1
3 3
3 2
5 2
3 5
5 2
3 5
3 8","162 120
13 11
11 7
11 4
8 11
15 8
10 14
10 13
15 11
19 11
19 13
14 11
17 6","235 195
21 18
15 13
15 9
11 13
23 10
15 19
16 19
23 15
25 17
26 20
20 21
25 21"
"Total
Janeiro
Fevereiro
Março
Abril
Maio
Junho
Julho
Agosto
Setembro
Outubro
Novembro
Dezembro","195 199
24 18
12 18
16 14
10 11
11 14
17 12
11 17
13 23
15 10
14 17
23 19
29 26","428 462
43 36
21 34
34 40
27 35
28 32
39 42
36 39
47 40
34 36
42 36
34 41
43 51","5341 5165
478 484
428 434
452 408
386 427
398 403
424 348
393 372
383 373
417 459
491 507
562 505
529 445","5964 5826
545 538
461 486
502 462
423 473
437 449
480 402
440 428
443 436
466 505
547 560
619 565
601 522"
