,Feminino,Masculino,Total(1)
,2010 2011,2010 2011,2010 2011
"Feridos leves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","2958 2909
56 61
116 79
223 218
278 257
178 174
115 108
114 129
159 139
129 154
164 158
188 164
197 176
207 194
195 190
216 221
421 486
2 1","2383 2256
118 105
148 144
237 254
162 143
117 100
102 90
103 104
143 118
117 127
123 122
152 108
153 136
133 133
136 124
145 117
291 328
3 3","5341 5165
174 166
264 223
460 472
440 400
295 274
217 198
217 233
302 257
246 281
287 280
340 272
350 312
340 327
331 314
361 338
712 814
5 4"
"Total de vítimas
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","3238 3212
62 67
121 87
237 228
299 267
186 185
122 117
129 136
171 147
141 162
178 175
203 178
216 195
223 221
211 217
252 249
485 580
2 1","2726 2613
128 113
152 154
254 280
173 162
130 113
112 99
121 118
157 136
134 139
152 146
172 126
179 162
157 159
160 149
175 146
366 407
4 4","5964 5826
190 180
273 241
491 508
472 429
316 298
234 216
250 254
328 283
275 301
330 321
375 304
395 358
380 380
371 366
427 395
851 987
6 5"
