Quadro 1.9  Sinistralidade em Portugal por tipo de via,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tipo de via,AcV,,,VM,,,FG,,,FL,,,IGR,,
,2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19"
AEs,2146,1426,-0.33550792171481825,67,59,-0.11940298507462688,168,102,-0.3928571428571429,3084,1901,-0.38359273670557714,3.1220876048462256,4.137447405329593,0.32521822863243366
Arruamentos,24298,17751,-0.26944604494197055,295,204,-0.30847457627118646,1204,893,-0.25830564784053156,28157,19899,-0.29328408566253505,1.2140916947896947,1.1492310292377894,-0.05342320174848114
EMs,1335,1127,-0.1558052434456929,40,29,-0.275,157,126,-0.197452229299363,1609,1272,-0.20944686140459912,2.9962546816479403,2.5732031943212066,-0.14119343389529737
ENs,6372,5049,-0.2076271186440678,180,170,-0.05555555555555558,549,517,-0.05828779599271405,8241,6184,-0.2496056303846621,2.824858757062147,3.3670033670033668,0.19191919191919182
ERs,361,242,-0.32963988919667586,10,7,-0.30000000000000004,32,17,-0.46875,468,283,-0.39529914529914534,2.7700831024930745,2.8925619834710745,0.04421487603305807
ICs,966,652,-0.3250517598343685,31,21,-0.32258064516129037,82,67,-0.18292682926829273,1265,835,-0.3399209486166008,3.2091097308488616,3.2208588957055215,0.003661191371462369
IPs,263,186,-0.2927756653992395,19,7,-0.631578947368421,26,23,-0.11538461538461542,349,244,-0.30085959885386815,7.224334600760455,3.763440860215054,-0.4790605546123372
Outras vias*,1510,1292,-0.14437086092715234,46,39,-0.15217391304347827,165,132,-0.19999999999999996,1761,1440,-0.18228279386712098,3.0463576158940397,3.018575851393189,-0.009119666173105334
Total,37251,27725,-0.25572467853212,688,536,-0.22093023255813948,2383,1877,-0.2123373898447335,44934,32058,-0.28655361196421414,1.846930283750772,1.9332732191163209,0.04674942856543707
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,
