Quadro 5.3 Passageiros vítimas em Portugal por mês,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mês,VM,,,FG,,,FL,,,Total de passageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
jan,11,6,-0.4545454545454546,20,24,0.19999999999999996,804,719,-0.10572139303482586,835,749,-0.10299401197604785
fev,6,8,0.33333333333333326,20,42,1.1,637,693,0.08791208791208782,663,743,0.1206636500754148
mar,5,5,0,33,16,-0.5151515151515151,866,389,-0.5508083140877598,904,410,-0.5464601769911505
abr,35,4,-0.8857142857142857,39,13,-0.6666666666666667,859,160,-0.8137369033760187,933,177,-0.8102893890675241
mai,12,9,-0.25,31,24,-0.22580645161290325,830,378,-0.544578313253012,873,411,-0.5292096219931272
jun,7,8,0.1428571428571428,39,17,-0.5641025641025641,877,524,-0.4025085518814139,923,549,-0.40520043336944744
jul,10,14,0.3999999999999999,43,30,-0.3023255813953488,962,648,-0.32640332640332637,1015,692,-0.3182266009852217
ago,16,7,-0.5625,70,44,-0.37142857142857144,1212,835,-0.3110561056105611,1298,886,-0.3174114021571649
set,18,5,-0.7222222222222222,41,37,-0.09756097560975607,982,708,-0.2790224032586558,1041,750,-0.27953890489913547
out,14,6,-0.5714285714285714,25,20,-0.19999999999999996,859,532,-0.380675203725262,898,558,-0.378619153674833
nov,7,1,-0.8571428571428572,25,19,-0.24,898,502,-0.4409799554565702,930,522,-0.43870967741935485
dez,4,5,0.25,32,25,-0.21875,881,548,-0.3779795686719637,917,578,-0.3696837513631407
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
,,,,,,,,,,,,
