Quadro 6.5 Condutores vítimas em Portugal por período horário,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Período horário,VM,,,FG,,,FL,,,Total de condutores vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
[00:00-03:00[,27,20,-0.2592592592592593,108,59,-0.4537037037037037,1060,688,-0.3509433962264151,1195,767,-0.3581589958158996
[03:00-06:00[,16,11,-0.3125,64,27,-0.578125,606,363,-0.400990099009901,686,401,-0.4154518950437318
[06:00-09:00[,40,32,-0.19999999999999996,136,91,-0.3308823529411765,3372,2272,-0.32621589561091335,3548,2395,-0.3249718151071026
[09:00-12:00[,47,50,0.06382978723404253,191,148,-0.22513089005235598,4705,3707,-0.21211477151965996,4943,3905,-0.20999393081124818
[12:00-15:00[,50,49,-0.020000000000000018,209,192,-0.08133971291866027,5267,4151,-0.21188532371368896,5526,4392,-0.2052117263843648
[15:00-18:00[,82,67,-0.18292682926829273,300,309,0.030000000000000027,5904,4466,-0.24356368563685638,6286,4842,-0.2297168310531339
[18:00-21:00[,91,73,-0.19780219780219777,327,288,-0.11926605504587151,5523,4357,-0.21111714647836322,5941,4718,-0.20585759973068507
[21:00-00:00[,50,55,0.10000000000000009,180,161,-0.10555555555555551,2439,1934,-0.20705207052070518,2669,2150,-0.19445485200449608
Total,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268
,,,,,,,,,,,,
