Quadro 4.5  Peões vítimas em Portugal por período horário,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Período horário,VM,,,FG,,,FL,,,Total de peões vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
[00:00-03:00[,7,4,-0.4285714285714286,7,6,-0.1428571428571429,84,37,-0.5595238095238095,98,47,-0.5204081632653061
[03:00-06:00[,2,4,1,8,4,-0.5,36,11,-0.6944444444444444,46,19,-0.5869565217391304
[06:00-09:00[,7,20,1.8571428571428572,54,38,-0.2962962962962963,561,364,-0.35115864527629237,622,422,-0.3215434083601286
[09:00-12:00[,21,19,-0.09523809523809523,68,46,-0.32352941176470584,969,714,-0.26315789473684215,1058,779,-0.2637051039697542
[12:00-15:00[,14,14,0,63,36,-0.4285714285714286,893,565,-0.3673012318029115,970,615,-0.365979381443299
[15:00-18:00[,29,18,-0.3793103448275862,77,47,-0.38961038961038963,1148,727,-0.36672473867595823,1254,792,-0.368421052631579
[18:00-21:00[,45,16,-0.6444444444444444,129,87,-0.32558139534883723,1357,890,-0.34414148857774507,1531,993,-0.35140431090790336
[21:00-00:00[,15,6,-0.6,44,27,-0.38636363636363635,343,176,-0.4868804664723032,402,209,-0.48009950248756217
Total,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324
,,,,,,,,,,,,
