Quadro 1.1. Sinistralidade em Portugal por mês,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mês,AcV,,,VM,,,FG,,,FL,,
,2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19"
jan,2953,2779,-0.05892312902133423,68,46,-0.32352941176470584,155,137,-0.11612903225806448,3515,3337,-0.05064011379800859
fev,2470,2551,0.03279352226720644,48,38,-0.20833333333333337,140,184,0.3142857142857143,2937,3057,0.04085801838610825
mar,2998,1759,-0.4132755170113409,46,33,-0.28260869565217395,202,106,-0.4752475247524752,3603,2018,-0.43991118512350824
abr,2791,925,-0.6685775707631674,71,21,-0.704225352112676,175,62,-0.6457142857142857,3429,1000,-0.7083697871099446
mai,3219,1868,-0.41969555762659216,55,49,-0.10909090909090913,211,159,-0.24644549763033174,3850,2056,-0.46597402597402593
jun,2978,2241,-0.24748153122901273,48,51,0.0625,211,158,-0.2511848341232228,3613,2559,-0.2917243288126211
jul,3397,2819,-0.17015013246982635,49,71,0.44897959183673475,221,203,-0.08144796380090502,4147,3264,-0.21292500602845432
ago,3448,2874,-0.16647331786542918,75,51,-0.31999999999999995,297,220,-0.2592592592592593,4303,3418,-0.20567046246804555
set,3216,2687,-0.16449004975124382,65,56,-0.1384615384615384,226,174,-0.23008849557522126,3887,3139,-0.19243632621559048
out,3445,2559,-0.25718432510885336,56,53,-0.0535714285714286,189,164,-0.13227513227513232,4095,2877,-0.2974358974358975
nov,3203,2255,-0.29597252575710276,54,30,-0.4444444444444444,180,146,-0.18888888888888888,3814,2574,-0.32511798636601996
dez,3133,2408,-0.23140759655282472,53,37,-0.30188679245283023,176,164,-0.06818181818181823,3741,2759,-0.26249665864742044
Total,37251,27725,-0.25572467853212,688,536,-0.22093023255813948,2383,1877,-0.2123373898447335,44934,32058,-0.28655361196421414
