Quadro 6.13 Condutores vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Categoria de veículo,VM,,,FG,,,FL,,,Total de condutores vítimas,,,VM/100 vítimas,,FG/100 vítimas,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,2019,2020
,,,20/19,,,20/19,,,20/19,,,20/19,,,,
Automóvel ligeiro,191,174,-0.08900523560209428,624,546,-0.125,17396,12085,-0.3053000689813751,18211,12805,-0.2968535500521663,1.048816649277909,1.3588442014837954,3.4265004667508645,4.263959390862944
Automóvel pesado,7,9,0.2857142857142858,29,14,-0.5172413793103448,273,208,-0.23809523809523814,309,231,-0.2524271844660194,2.26537216828479,3.896103896103896,9.385113268608414,6.0606060606060606
Ciclomotor,34,26,-0.23529411764705888,153,114,-0.2549019607843137,2198,1663,-0.2434030937215651,2385,1803,-0.24402515723270435,1.4255765199161425,1.4420410427066,6.415094339622641,6.322795341098169
Motociclo cilindrada <= 125cc,34,31,-0.08823529411764708,206,153,-0.25728155339805825,3989,3386,-0.15116570569064924,4229,3570,-0.15582880113502007,0.8039725703476,0.8683473389355741,4.871127926223694,4.285714285714286
Motociclo cilindrada > 125cc,84,81,-0.0357142857142857,319,272,-0.14733542319749215,2511,2128,-0.15252887295898043,2914,2481,-0.14859299931365821,2.8826355525051475,3.2648125755743655,10.947151681537406,10.963321241434906
Velocípede,11,6,-0.4545454545454546,36,25,-0.3055555555555556,246,209,-0.15040650406504064,293,240,-0.1808873720136519,3.7542662116040955,2.5,12.286689419795222,10.416666666666668
Quadriciclo,0,0,-,1,4,3,23,22,-0.04347826086956519,24,26,0.08333333333333326,0,0,4.166666666666667,15.384615384615383
Triciclo,14,11,-0.2142857142857143,22,21,-0.045454545454545414,81,91,0.1234567901234569,117,123,0.05128205128205132,11.965811965811966,8.94308943089431,18.803418803418804,17.073170731707318
Veículo agrícola,27,19,-0.2962962962962963,120,120,0,2127,2114,-0.00611189468735307,2274,2253,-0.00923482849604218,1.187335092348285,0.8433200177541056,5.277044854881267,5.326231691078561
Outros*,1,0,-1,5,6,0.19999999999999996,32,32,0,38,38,0,2.6315789473684212,0,13.157894736842104,15.789473684210526
Total,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268,1.308696499318049,1.5146372507424692,4.919789569396635,5.409418752651676
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,
