"Quadro 5.1  Passageiros vítimas em Portugal, por NUTS I",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
NUTS I,VM,,,FG,,,FL,,,Total de passageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Continente,109,72,-0.33944954128440363,368,296,-0.19565217391304346,10249,6324,-0.3829641916284515,10726,6692,-0.37609546895394363
RA Açores,6,4,-0.33333333333333337,23,7,-0.6956521739130435,180,131,-0.27222222222222225,209,142,-0.32057416267942584
RA Madeira,30,2,-0.9333333333333333,27,8,-0.7037037037037037,238,181,-0.23949579831932777,295,191,-0.3525423728813559
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
,,,,,,,,,,,,
