Quadro 5.7 Passageiros vítimas em Portugal por luminosidade,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Luminosidade,VM,,,FG,,,FL,,,Total de passageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Dia,101,43,-0.5742574257425743,242,166,-0.31404958677685946,7258,4496,-0.3805456048498209,7601,4705,-0.3810024996710959
Noite,42,33,-0.2142857142857143,161,128,-0.20496894409937894,2923,1890,-0.35340403694834077,3126,2051,-0.3438899552143314
Aurora/Crepúsculo,2,2,0,14,17,0.2142857142857142,479,250,-0.47807933194154484,495,269,-0.4565656565656566
n.d.,0,0,-,1,0,-1,7,0,-1,8,0,-1
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
,,,,,,,,,,,,
