Quadro 4.4  Peões vítimas em Portugal por dia da semana,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia da semana,VM,,,FG,,,FL,,,Total de peões vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
2ª feira,27,17,-0.37037037037037035,61,48,-0.21311475409836067,813,526,-0.35301353013530135,901,591,-0.34406215316315203
3ª feira,24,8,-0.6666666666666667,72,40,-0.4444444444444444,843,526,-0.3760379596678529,939,574,-0.3887113951011715
4ª feira,13,21,0.6153846153846154,62,50,-0.19354838709677424,867,550,-0.36562860438292966,942,621,-0.3407643312101911
5ª feira,20,21,0.050000000000000044,75,35,-0.5333333333333333,907,571,-0.3704520396912899,1002,627,-0.37425149700598803
6ª feira,28,15,-0.4642857142857143,76,59,-0.22368421052631582,935,652,-0.3026737967914439,1039,726,-0.3012512030798845
Sábado,16,14,-0.125,63,27,-0.5714285714285714,604,386,-0.36092715231788075,683,427,-0.37481698389458273
Domingo,12,5,-0.5833333333333333,41,32,-0.2195121951219512,422,273,-0.3530805687203792,475,310,-0.34736842105263155
Total,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324
,,,,,,,,,,,,
