Quadro 3.1 Vítimas em Portugal por categoria de utente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Categoria de utentes ,VM,,,FG,,,FL,,,Total de vítimas,,,VM/ 100 vítimas,,FG/ 100 vítimas,
,2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,2019,2020
Condutor,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268,1.308696499318049,1.5146372507424692,4.919789569396635,5.409418752651676
Passageiro,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665,1.2911843276936776,1.1103202846975089,3.722172751558326,4.427046263345196
Peão,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324,2.340745694699883,2.60577915376677,7.5238254472496235,7.507739938080496
Total,688,536,-0.22093023255813948,2383,1877,-0.2123373898447335,44934,32058,-0.28655361196421414,48005,34471,-0.2819289657327362,1.4331840433288199,1.5549302312088422,4.964066243099677,5.445156798468278
