Quadro 2.1.  Veículos intervenientes em acidentes com vítimas em Portugal por categoria e natureza do acidente,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Categoria veículo e natureza,,Atropelamento,,,Colisão,,,Despiste,,,Total ,,
,,2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19"
Automóvel ligeiro,Passageiros,3999,2553,-0.3615903975993998,26869,18139,-0.3249097472924187,6460,5084,-0.21300309597523215,37328,25776,-0.30947278182597515
,Mercadorias,822,603,-0.26642335766423353,5528,4025,-0.2718885672937771,1376,1048,-0.2383720930232558,7726,5676,-0.2653378203468807
,Outros,35,31,-0.11428571428571432,322,211,-0.34472049689441,94,64,-0.3191489361702128,451,306,-0.3215077605321508
,n.d.,108,56,-0.4814814814814815,39,39,0,13,10,-0.23076923076923073,160,105,-0.34375
,Total,4964,3243,-0.34669621273166806,32758,22414,-0.31577019354050917,7943,6206,-0.21868311721012212,45665,31863,-0.30224460746742576
Automóvel pesado,Passageiros,104,73,-0.29807692307692313,364,219,-0.3983516483516484,26,16,-0.3846153846153846,494,308,-0.3765182186234818
,Mercadorias,50,31,-0.38,590,452,-0.23389830508474574,131,96,-0.26717557251908397,771,579,-0.2490272373540856
,Outros,21,20,-0.04761904761904767,314,267,-0.14968152866242035,75,60,-0.19999999999999996,410,347,-0.15365853658536588
,n.d.,3,1,-0.6666666666666667,1,1,0,0,0,#DIV/0!,4,2,-0.5
,Total,178,125,-0.297752808988764,1269,939,-0.2600472813238771,232,172,-0.2586206896551724,1679,1236,-0.26384752829064917
Ciclomotor,,73,57,-0.2191780821917808,1399,1003,-0.2830593280914939,1034,821,-0.2059961315280464,2506,1881,-0.24940143655227454
Motociclo cilindrada <= 125cc,,136,110,-0.19117647058823528,2694,2234,-0.1707498144023757,1621,1405,-0.13325107958050586,4451,3749,-0.1577173668838463
Motociclo cilindrada > 125cc,,93,53,-0.4301075268817204,1898,1497,-0.21127502634351947,1096,1073,-0.02098540145985406,3087,2623,-0.15030774214447684
Velocípede,,139,93,-0.3309352517985612,1612,1534,-0.048387096774193505,680,740,0.08823529411764697,2431,2367,-0.026326614561908657
Quadriciclo,,15,12,-0.19999999999999996,125,124,-0.008000000000000007,207,152,-0.2657004830917874,347,288,-0.17002881844380402
Triciclo,,10,1,-0.9,23,16,-0.30434782608695654,14,14,0,47,31,-0.34042553191489366
Veículo agrícola,,10,3,-0.7,113,104,-0.07964601769911506,93,95,0.021505376344086002,216,202,-0.06481481481481477
Outros*,,123,109,-0.11382113821138207,193,178,-0.07772020725388606,27,27,0,343,314,-0.08454810495626819
Total,,5741,3806,-0.33704929454798815,42084,30043,-0.2861182397110541,12947,10705,-0.1731675291573338,60772,44554,-0.2668663200157968
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,
