,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2008 2009,2008 2009,2008 2009,2008 2009
"Segunda
Terça
Quarta
Quinta
Sexta
Sábado
Domingo","20 25
22 22
12 20
18 17
10 22
23 25
43 26","74 63
45 65
47 61
83 68
88 74
114 113
136 123","1583 1653
1390 1399
1222 1581
1473 1474
1893 1688
2052 2237
2412 2524","1677 1741
1457 1486
1281 1662
1574 1559
1991 1784
2189 2375
2591 2673"
Total,148 157,587 567,12025 12556,12760 13280
