,Feminino,Masculino,Total(1)
,2008 2009,2008 2009,2008 2009
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","55 40
0 0
0 2
8 6
6 6
8 4
5 4
4 5
4 4
8 4
2 1
3 1
3 2
2 1
2 0
0 0","435 409
0 0
14 9
45 43
57 44
49 43
51 40
31 38
31 31
33 33
30 29
22 19
22 21
19 20
31 39
0 0","492 450
0 0
14 11
53 49
63 50
58 47
56 44
35 43
35 35
41 37
32 30
25 21
25 23
21 21
33 39
1 0"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","208 210
3 6
11 16
30 25
27 16
37 22
19 32
22 22
18 20
11 22
14 8
6 8
6 6
2 5
2 2
0 0","1281 1346
19 22
96 94
175 183
179 171
157 164
114 140
97 114
93 95
79 74
57 75
46 62
49 55
60 44
58 52
2 1","1490 1556
22 28
108 110
205 208
206 187
194 186
133 172
119 136
111 115
90 96
71 83
52 70
55 61
62 49
60 54
2 1"
