,Feminino,Masculino,Total(1)
,2008 2009,2008 2009,2008 2009
"Vítimas mortais
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","45 43
1 3
1 1
1 1
1 0
1 0
3 1
0 1
0 1
2 1
2 2
0 3
2 2
6 2
8 4
4 7
13 14
0 0","91 87
2 1
1 1
1 1
1 2
1 0
0 4
3 5
5 6
12 4
8 6
8 10
7 2
7 4
7 9
9 6
17 24
2 2","136 130
3 4
2 2
2 2
2 2
2 0
3 5
3 6
5 7
14 5
10 8
8 13
9 4
13 6
15 13
13 13
30 38
2 2"
"Feridos Graves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","239 203
8 1
10 9
18 9
20 15
6 6
8 2
11 4
4 8
16 9
8 8
7 19
14 16
20 19
16 21
25 18
48 39
0 0","290 298
20 16
17 12
23 17
12 17
8 9
9 8
11 21
15 11
15 16
20 24
22 18
20 20
16 25
18 17
14 14
50 51
0 2","529 501
28 17
27 21
41 26
32 32
14 15
17 10
22 25
19 19
31 25
28 32
29 37
34 36
36 44
34 38
39 32
98 90
0 2"
