,Feminino,Masculino,Total(1)
,2008 2009,2008 2009,2008 2009
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","83 69
6 7
9 11
9 6
3 4
6 2
5 0
0 1
7 4
2 5
6 4
7 3
5 4
6 7
12 11
0 0","65 88
7 4
10 20
10 14
5 9
4 7
1 7
5 4
0 2
6 6
2 2
2 1
1 3
3 2
9 6
0 1","148 157
13 11
19 31
19 20
8 13
10 9
6 7
5 5
7 6
8 11
8 6
9 4
6 7
9 9
21 17
0 1"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","268 275
24 31
29 27
31 26
20 18
21 11
18 18
26 14
10 17
15 20
14 19
14 21
22 14
12 11
11 27
1 1","319 292
48 32
46 48
64 50
27 32
23 19
16 19
26 15
10 16
12 15
11 17
9 10
7 9
9 3
10 5
1 2","587 567
72 63
75 75
95 76
47 50
44 30
34 37
52 29
20 33
27 35
25 36
23 31
29 23
21 14
21 32
2 3"
