,"Acidentes c/
vítimas
2008 2009","Vítimas
mortais
2008 2009","Feridos
graves
2008 2009","Feridos leves
2008 2009","Total de
vítimas
2008 2009","Índice de
gravidade
2008 2009"
Auto-Estrada,2501 2886,84 78,197 190,3468 4021,3749 4289,"3,4 2,7"
"Est. Nacional
Dentro localidades
Fora localidades","8315 8620
4181 4349
4134 4271","326 286
129 106
197 180","850 919
358 364
492 555","10810 11286
5406 5637
5404 5649","11986 12491
5893 6107
6093 6384","3,9 3,3
3,1 2,4
4,8 4,2"
"IP/IC
Dentro localidades
Fora localidades","1063 1288
192 265
871 1023","46 65
4 4
42 61","89 125
14 10
75 115","1473 1730
263 350
1210 1380","1608 1920
281 364
1327 1556","4,3 5,0
2,1 1,5
4,8 6,0"
"Est. Municipal
Dentro localidades
Fora localidades","2862 2742
1121 996
1741 1746","92 77
35 27
57 50","266 272
101 80
165 192","3559 3362
1381 1216
2178 2146","3917 3711
1517 1323
2400 2388","3,2 2,8
3,1 2,7
3,3 2,9"
Arruamentos,17792 19018,181 185,1105 1018,20701 22241,21987 23444,"1,0 1,0"
"Outras(1)
Dentro localidades
Fora localidades","1080 930
470 409
610 521","47 46
17 17
30 29","99 100
41 28
58 72","1316 1150
561 501
755 649","1462 1296
619 546
843 750","4,4 4,9
3,6 4,2
4,9 5,6"
"Total
Dentro localidades
Fora localidades","33613 35484
23756 25037
9857 10447","776 737
366 339
410 398","2606 2624
1619 1500
987 1124","41327 43790
28312 29945
13015 13845","44709 47151
30297 31784
14412 15367","2,3 2,1
1,5 1,4
4,2 3,8"
