,"Vítimas mortais
(M)","Feridos graves
(FG)",Feridos leves,"Total de vítimas
(V)","M e FG por 100
vítimas em 2009"
,2008 2009,2008 2009,2008 2009,2008 2009,M/V FG/V
"Condutores
Passageiros
Peões","492 450
148 157
136 130","1490 1556
587 567
529 501","24155 25732
12025 12556
5147 5502","26137 27738
12760 13280
5812 6133","2 6
1 4
2 8"
Total,776 737,2606 2624,41327 43790,44709 47151,2 6
