,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009
"Adequada ao veículo
Não adequada
Em instrução/exame
Caducada/suspensa
Sem licença/carta
Não necessária
Não definido","402 386
12 9
1 0
5 1
34 27
36 24
2 3","1196 1281
30 24
0 1
9 7
155 128
98 104
2 11","21942 23447
264 181
13 17
44 62
721 648
1123 1181
48 196","23540 25114
306 214
14 18
58 70
910 803
1257 1309
52 210","49532 51829
619 370
19 26
78 94
1122 950
1329 1359
1104 2158"
Total,492 450,1490 1556,24155 25732,26137 27738,53803 56786
